naslov,cena_eur,lokacija,kvadratura,broj_soba
"Dvosoban, adaptibilan u dvoiposoban, Vračar-centar",235.000,"Beograd, Opština Vračar, Kalenić pijaca, Hadži Ruvimova",57 m2,2.0
"Garsonjera kod Cvetkove Pijace, Odeska ID#3811",114.000,"Beograd, Opština Zvezdara, Cvetkova pijaca, Odeska",31 m2,0.5
"2.5 stan u Zemunu, Ohridska ID#3650",164.000,"Beograd, Opština Zemun, Gornji grad, Ohridska",62 m2,2.5
Extra lux stan u Djordja Vajferta-bez provizije,652.500,"Beograd, Opština Vračar, Čubura",145 m2,3.0
Komforan stan sa 3 garazna mesta na Crvenom krstu,560.000,"Beograd, Opština Vračar, Crveni krst, Niska",151 m2,5.0
Brz povrat investicije,620.000,"Beograd, Opština Savski venac, Beograd na vodi, ",144 m2,4.0
2.0 stan-Retenzija-Prve Pruge ID#3836,225.000,"Beograd, Opština Zemun, Retenzija, Prve pruge",58 m2,2.0
"4.0 lux stan kod Đeram pijace, Branka Krsmanovića",380.000,"Beograd, Opština Zvezdara, Đeram pijaca, Branka Krsmanovića",98 m2,4.0
Sergeja Jesenjina - Trosoban - 52 m² + dve terase,115.000,"Beograd, Opština Zemun, Zemun polje, Sergeja Jesenjina",52 m2,3.0
Stan u novogradnji,145.960,"Beograd, Opština Grocka, Kaluđerica, Mokroluška","83,41 m2",3.5
Lux trosoban sa garazom-fiksna cena bez provizije,500.000,"Beograd, Opština Zvezdara, Zvezdarska šuma, Dragiše Lapčevića",100 m2,3.5
BW Aria - Penthouse,620.000,"Beograd, Opština Savski venac, Beograd na vodi, Bulevar Vudroa Vilsona",144 m2,4.0
Green Home - novogradnja sa privatnim dvorištem,111.000,"Beograd, Opština Zemun, Batajnicki drum, Stevana Dubajića","46,09 m2",2.0
Miljana Miljanića - kompletno namešten mali stan,75.000,"Beograd, Opština Voždovac, Vojvode Vlahovića, Miljana Miljanića",22 m2,1.0
"Fontana, 62m2 + 15m2, uknjižen",205.000,"Beograd, Opština Novi Beograd, Fontana, Pariske komune",62 m2,2.0
Namešten trosoban stan u Braće Jerković,249.000,"Beograd, Opština Voždovac, Braće Jerković, Indire Gandi",84 m2,3.0
Konjarnik- Ustanička – renoviran stan 37 m²,137.900,"Beograd, Opština Voždovac, Konjarnik, Ustanička",37 m2,1.5
"Batajnica centar, novogradnja, 3,0, 65,04m2",149.600,"Beograd, Opština Zemun, Batajnica, Jovana Brankovića","65,04 m2",3.0
"Luksuzna novogradnja, retko u ponudi ID#1383",247.500,"Beograd, Opština Novi Beograd, Blok 65, Đorđa Stanojevića",55 m2,2.0
"Lokacija, uknjižen, parking!",205.000,"Beograd, Opština Novi Beograd, Fontana, Pariske Komune",62 m2,2.0
Kompletno Renoviran,155.000,"Beograd, Opština Novi Beograd, Blok 21, Bulevar Mihaila Pupina",29 m2,1.0
Novogradnja odmah useljivo,100.800,"Beograd, Opština Grocka, Kaluđerica, Vojvode Stepe Stepanovića",56 m2,2.5
"Ekskluzivan 3.0 stan na Dedinju, panoramski pogled",625.000,"Beograd, Opština Savski venac, Dedinje, ",111 m2,3.0
Odličan porodični stan 83m² – Vojvode Stepe (kod S,259.000,"Beograd, Opština Voždovac, Vojvode Stepe, Vojvode Stepe",83 m2,3.0
Bulevar JNA Jajinci 42m2 (direktno od investitora),92.400,"Beograd, Opština Voždovac, Jajinci, Bulevar JNA",42 m2,1.5
Oaza mira na Bežanijskoj Kosi,285.000,"Beograd, Opština Novi Beograd, Bežanijska kosa 1, Stojana Aralice",67 m2,3.0
Trosoban stan kod Miljakovačke šume,157.300,"Beograd, Opština Rakovica, Centar",65 m2,3.0
Renoviran 3.0 stan – Beogradska ID#2906,279.000,"Beograd, Opština Vračar, Krunski venac, Beogradska",70 m2,3.0
"Wellport, nov, 2.0, neuseljivan, prelep pogled",250.000,"Beograd, Opština Novi Beograd, Blok 65, Tadije Sondermajera",55 m2,2.0
Moderno renoviran 2.0 stan u Mirijevu,155.000,"Beograd, Opština Zvezdara, Mirijevo, Petrarkina",63 m2,2.0
"Dvosoban stan 42 m², Borča, Palilula, Beograd",84.000,"Beograd, Opština Palilula, Borča, Mihaila Šolohova",42 m2,2.5
Stan sa karakterom u srcu grada,315.000,"Beograd, Opština Stari grad, Centar",78 m2,3.0
Trosoban stan sa puno potencijala Stanoja Glavaša,319.000,"Beograd, Opština Palilula, 27. marta, Stanoja Glavaša",98 m2,3.0
Bw Lumia 3.0 namešten,375.000,"Beograd, Opština Savski venac, Beograd na vodi, Luke Celovica Trebinjca",78 m2,3.0
"Četvorosoban stan, 116m2 - Uskoro useljiv",504.020,"Beograd, Opština Voždovac, Lekino brdo, Gospodara Vučića",116 m2,3.0
"Karaburma 46m2 , terasa 14m2, pogled na Dunav",146.000,"Beograd, Opština Palilula, Karaburma, Marijane Gregoran",60 m2,2.0
"Trosoban stan 97m2, Kneza Miloša Residence",550.000,"Beograd, Opština Savski venac, Kneza Miloša, Sarajevska",97 m2,3.0
Premium penthouse 206m2 sa krovnom terasom 180m2,2.000.000,"Beograd, Opština Savski venac, Senjak",206 m2,4.0
"Prodaja trosobnog stana 91m2, Balkanska",435.000,"Beograd, Opština Savski venac, Balkanska, Balkanska",91 m2,3.0
