naslov,cena_eur,lokacija,kvadratura,broj_soba
Luksuzni stan vaših snova,433.000,"Beograd, Opština Voždovac, Ustanička, Ustanička","134,75 m2",4.0
Odličan Kompletno Renoviran Stan-VN 015,178.900,"Beograd, Opština Rakovica, Kanarevo brdo, Ivana Mičurina",61 m2,2.5
"BW Riviera, najpoželjniji stan, direktno na reci I",1.590.000,"Beograd, Opština Savski venac, Beograd na vodi, Hercegovačka",204 m2,4.0
"Lekino brdo, Tetovska 46 m2, Banat Gradnja, novo",179.400,"Beograd, Opština Voždovac, Lekino brdo, Tetovska",46 m2,2.0
Luksuzan porodičan stan u novogradnji – Zemun,405.405,"Beograd, Opština Zemun, Ćukovac, Bregovita","115,83 m2",5.0
Prodaja stana u Beogradu,466.000,"Beograd, Opština Stari grad, Centar, Palmotićeva",110 m2,3.0
"U mirnom kraju, dvostran, svetao",149.000,"Beograd, Opština Palilula, Karaburma, Dr Nika Miljanića",51 m2,2.0
"Lux, odmah useljiv",159.000,"Beograd, Opština Zemun, Zemunske kapije, Šumadijska",37 m2,1.0
"Prvi sprat, useljiv stan",155.000,"Beograd, Opština Palilula, Borča, Severina Bijelića",61 m2,2.5
"Lastavica, lux, garažno mesto",380.000,"Beograd, Opština Novi Beograd, Blok 58, Jurija Gagarina",83 m2,4.0
Atraktivan stan ID#14230,549.000,"Beograd, Opština Voždovac, Vojvode Stepe, Pazinska",160 m2,5.0
"Blok 21, Bul. Zorana Đinđića - 62.44m2 3.0",245.000,"Beograd, Opština Novi Beograd, Blok 21, ","62,44 m2",3.0
"Odličan 2.5, uknjižen",214.900,"Beograd, Opština Novi Beograd, Blok 61, Dr Ivana Ribara",75 m2,2.5
"Izuzetna investicija, 2.0, Airport Residence ID#12",108.000,"Beograd, Opština Novi Beograd, Ledine, ",60 m2,2.0
"Pretprodaja, novogradnja, lux ID#1282",192.000,"Beograd, Opština Zemun, Gornji grad, ","68,56 m2",3.5
"Uknjižen, useljiv, Petra Lekovića ID#1411",165.000,"Beograd, Opština Čukarica, Banovo brdo, Petra Lekovića",35 m2,1.0
"Retko u ponudi, uknjižen, 3.0, centralno grejanje",129.000,"Beograd, Opština Zvezdara, Mirijevo, ",67 m2,3.0
"Uknjižen, adaptilan u 3.5, može na kredit ID#1010",255.000,"Beograd, Opština Palilula, Bulevar despota Stefana, Bulevar despota Stefana",90 m2,3.0
"Uknjižen, odmah useljiv, može na kredit ID#1018",210.000,"Beograd, Opština Novi Beograd, Fontana, Studentska",56 m2,2.0
Kompletno opremljen lux stan u mirnom delu Vračara,380.000,"Beograd, Opština Vračar, Crveni krst, Šumatovačka",86 m2,4.0
"Slavija, Salonac 171m2 Umanjena Cena Dirketnim Poz",649.000,"Beograd, Opština Vračar, Slavija",171 m2,5.0
"Moderan duplex, odlična lokacija, Miljakovac 1",190.000,"Beograd, Opština Rakovica, Miljakovac, Dimitrija Koturovića",117 m2,3.0
"Dvoetažni stan, 118 m2, Đeram pijaca",349.000,"Beograd, Opština Zvezdara, Đeram pijaca, Pećska",118 m2,4.5
"Blok 45, 3.5 stan",199.900,"Beograd, Opština Novi Beograd, Blok 45 (TC Enjub), Jurija Gagarina",66 m2,3.5
"Lekino brdo, Tetovska 67.4 m2, Banat Gradnja",242.640,"Beograd, Opština Voždovac, Lekino brdo, Tetovska","67,40 m2",2.5
"Čukarička padina, Obalskih radnika 1.0 adaptibilan",98.900,"Beograd, Opština Čukarica, Čukarička padina, Obalskih radnika",30 m2,1.0
"Odličan, adaptibilan u jednoiposoban",134.900,"Beograd, Opština Čukarica, Banovo brdo",40 m2,1.0
BW Perla - ekskluzivan porodican stan na prodaju!,895.000,"Beograd, Opština Savski venac, Beograd na vodi, ","144,30 m2",4.0
Kompletno renoviran 3.0 stan u zelenilu!,219.000,"Beograd, Opština Voždovac, Braće Jerković, Meštrovićeva",69 m2,3.0
"Novogradska, kompletno renoviran ID#1250",129.000,"Beograd, Opština Zemun, Centar, ",44 m2,2.0
"Lux, novogradnja, stan sa terasom ID#1257",78.000,"Beograd, Opština Zemun, Gornji grad, ",26 m2,1.0
"Moguća kreditna kupovina, povrat pdv - a ID#1261",132.300,"Beograd, Opština Zemun, Gornji grad, ",41 m2,2.0
Jedinstven 1.0 stan sa velikom terasom ID#2868,155.000,"Beograd, Opština Novi Beograd, Blok 21, Bulevar Mihajla Pupina",29 m2,1.0
Sarajevska 1.0 stan ID#2869,125.000,"Beograd, Opština Savski venac, Klinički centar, Sarajevska",33 m2,1.0
"Prodaja 3.5 stana – Novi Beograd, Blok 19 ID#1018",329.000,"Beograd, Opština Novi Beograd, Blok 19a, Vladimira Popovića",93 m2,3.5
"Prestižan 3.0 salonac , 79m2, Maršala Birjuzova ID",320.000,"Beograd, Opština Stari grad, Centar, Maršala Birjuzova",79 m2,3.0
"Mirijevo, dvoiposoban, uknjižen",136.000,"Beograd, Opština Zvezdara, Mirijevo, Zagrađe",49 m2,2.5
Namešten dvoiposoban stan sa parkingom,157.000,"Beograd, Opština Zvezdara, Mirijevo",46 m2,2.5
"Mirijevo, uknjižen 2.0",142.000,"Beograd, Opština Zvezdara, Mirijevo, Ljube Tadića",45 m2,2.0
"Karaburma 1.5 renoviran, uknjižen",144.000,"Beograd, Opština Palilula, Karaburma, Salvadora Aljendea",41 m2,1.5
Panoramski pogled na reku i park - BW Eden,374.888,"Beograd, Opština Savski venac, Beograd na vodi",79 m2,3.0
Zemun -Slovenska ulica,134.000,"Beograd, Opština Zemun, Kolonija Zmaj, Slovenska",53 m2,2.0
"Profesorska kolonija, Ljubomira Stojanovića, uknji",195.000,"Beograd, Opština Palilula, Profesorska kolonija, Ljubomira Stojanovića",47 m2,2.0
Odličan stan kod Sc Olimp bez ulaganja,286.000,"Beograd, Opština Zvezdara, Olimp, Duvanjska",74 m2,3.5
Novogradnja – idealna prilika za keš kupce!,146.200,"Beograd, Opština Voždovac, Dušanovac","48,73 m2",1.5
Uknjižen! Odmah useljiv!,77.400,"Beograd, Opština Grocka, Leštane, Smederevski put",43 m2,1.0
Čuburski park - Daničareva 21kvm,84.000,"Beograd, Opština Vračar, Čubura, Daničareva",21 m2,0.5
Retenzija - Prve pruge 58kvm,225.000,"Beograd, Opština Zemun, Retenzija, Prve pruge",58 m2,2.0
"Voždovac, Medakovićeva 36 - Novogradnja",142.290,"Beograd, Opština Voždovac, Medaković 1, Medakovićeva","47,43 m2",1.5
"Vlasnik, NEuknjižen stan, 48m2, Učiteljsko Naselje",119.999,"Beograd, Opština Zvezdara, Učiteljsko naselje, Raljska","48,30 m2",2.0
Sunnyville-namešten i useljiv stan,158.000,"Beograd, Opština Palilula, Višnjička Banja, Mirka Milojkovića",48 m2,1.5
"Tašmajdan,3.0 salonac sa terasom ID#14760",280.000,"Beograd, Opština Palilula, Tašmajdan, Starine Novaka",60 m2,3.0
Beograd | Zvezdara | Pećska,370.000,"Beograd, Opština Zvezdara, Đeram pijaca, Pećska",84 m2,3.0
Prodaja stana Braće Jerković 71m2 ID#1601,169.955,"Beograd, Opština Voždovac, Braće Jerković, Jovana Bijelića",71 m2,3.0
Prodaja stana Stari grad Skupština 129m2 ID#1625,598.000,"Beograd, Opština Stari grad, Skupština, Kondina",129 m2,5.0
Prodaja novogradnja ID#1635,93.580,"Beograd, Opština Palilula, Ovča, Ovčanski put","46,79 m2",1.5
"Savršena struktura, svetao, mereno 138m2",639.900,"Beograd, Opština Stari grad, Knez Mihailova, Uzun Mirkova",124 m2,5+
Zemun Nova - porodičan stan u novogradnji ID#2608,260.000,"Beograd, Opština Zemun, Cara Dušana, ",94 m2,4.0
Novo kod Đerma sa terasom od 100m2,267.900,"Beograd, Opština Zvezdara, Đeram pijaca, Đevđelijska","66,63 m2",3.0
Novo kod Đerma,214.900,"Beograd, Opština Zvezdara, Đeram pijaca, Đevđelijska","52,47 m2",2.0
Nov brzo useljiv i zaista spektakularan,425.900,"Beograd, Opština Voždovac, Centar, Ustanička",142 m2,4.0
"Nov, brzo useljiv, 3 spavaće",252.990,"Beograd, Opština Voždovac, Centar, Ustanička","84,11 m2",4.0
Salonac | Krunski venac | Vračar,439.000,"Beograd, Opština Vračar, Krunski venac, Molerova",96 m2,4.0
"Lekino brdo, 3,5 svetao stan",206.000,"Beograd, Opština Voždovac, Lekino brdo, Tetovska","65,55 m2",3.5
Lep stan pored parka,170.000,"Beograd, Opština Čukarica, Banovo brdo, Žarka Vukovića Pucara",47 m2,2.5
"Vrhunski stan, idealna lokacija, vojni stan",405.000,"Beograd, Opština Novi Beograd, Bežanijska kosa 2, Peđe Milosavljevića",97 m2,4.5
"Dvosoban, uknjižen, renoviran, odlična lokacija",129.000,"Beograd, Opština Zemun, Ugrinovačka, Ugrinovačka",44 m2,2.0
"Četvorosoban, odličan, funkcionalan",238.000,"Beograd, Opština Čukarica, Cerak vinogradi, Cerski venac",83 m2,4.0
"Vračar, Kalenić pijaca – Mileševska",269.500,"Beograd, Opština Vračar, Kalenić pijaca, Mileševska",65 m2,2.0
BW Rima- savršeni dom na premium lokaciji!,275.000,"Beograd, Opština Savski venac, Beograd na vodi, Hercegovačka","55,81 m2",2.0
Trosoban stan 87 m² – investiciona prilika,175.000,"Beograd, Opština Savski venac, Prokop, Lazara Sočice",87 m2,3.0
Vojne zgrade - 1.0 - lep i funkcionalan stan,129.000,"Beograd, Opština Zvezdara, Mirijevo, Raše Plaovića",41 m2,1.0
Uknjižen stan sa parking mestom ID#1453,80.000,"Beograd, Opština Novi Beograd, Ledine, ",32 m2,1.5
"Retko u ponudi, renoviran, 2.5, 50m2",177.000,"Beograd, Opština Zvezdara, Konjarnik, Jelene Mioč",50 m2,2.5
"Četvorosoban stan, 86 m², Blok 30, Novi Beograd",323.000,"Beograd, Opština Novi Beograd, Blok 30 (B92), Španskih boraca",86 m2,4.0
Luksuzno renoviran stan,299.000,"Beograd, Opština Čukarica, Cerak vinogradi, Cersiki venac",83 m2,4.0
"Uknjižen i bez ulaganja, 3 sprat, odlična lokacija",137.900,"Beograd, Opština Zvezdara, Mirijevo, ",41 m2,2.0
"Odmah useljiv, investicija, može kredit za mlade!",89.900,"Beograd, Opština Voždovac, Medaković 2, Radovana Simića Cige",25 m2,0.5
N. Beograd - funkcionalan i svetao stan 71m2,234.000,"Beograd, Opština Novi Beograd, Stari Merkator, Otona Župančiča",71 m2,3.0
"Partizanov stadion, 3.0 nov stan 71 m2",265.000,"Beograd, Opština Savski venac, Stadion Partizana, Partizanov stadion",71 m2,3.0
"Strahinjica bana, deljiv u dva stana, dva ulaza!",350.000,"Beograd, Opština Stari grad, Centar, Strahinjića Bana",90 m2,3.0
Trosoban stan sa otvorenim i carobnim pogledom!,333.000,"Beograd, Opština Vračar, Čubura, Sazonova",82 m2,3.0
Zvezdara - Đeram pijaca - 5.0 ID#25609,349.000,"Beograd, Opština Zvezdara, Đeram pijaca, Pećska",118 m2,5.0
"Odmah useljiv, sa nameštajem, garažno mesto",295.000,"Beograd, Opština Zemun, Zelena avenija, Tošin bunar",71 m2,3.0
Harmonija – samo 20 minuta od centra Beograda,122.037,"Beograd, Opština Surčin, Dobanovci, Anđelka Čobanovića","64,23 m2",2.5
"Premium kvalitet – Surčin, u izgradnji, 39 m²",82.000,"Beograd, Opština Surčin, Surčin (mesto), Obilićev venac",39 m2,2.0
"Lux dvosoban, Dorćol, novogradnja + GaraŽa",245.000,"Beograd, Opština Stari grad, Dorćol, ",40 m2,2.0
"Karaburma- Husinskih rudara, 2.0",139.500,"Beograd, Opština Palilula, Karaburma, Husinskih rudara",56 m2,2.0
"Gradska bolnica, B.Krsmanovića-odlična investicija",162.000,"Beograd, Opština Zvezdara, Gradska bolnica, Branka Krsmanovića",73 m2,3.0
"Železnik, Osmog marta, uknjižen",125.000,"Beograd, Opština Čukarica, Železnik, 8. marta",53 m2,2.5
Ekskluzivan penthouse Jove Ilića ID#15712,907.500,"Beograd, Opština Voždovac, Voždovačka crkva, Jove Ilića",220 m2,5+
Uknjižena i nova garsonjera sa odličnim rasporedom,64.900,"Beograd, Opština Rakovica, Kneževac, ",24 m2,1.0
"Autokomanda, Kumodraška, Smart home, 96m2",278.000,"Beograd, Opština Voždovac, Autokomanda, Kumodraška",96 m2,3.0
"Vidikovac, Vidikovački venac, duplex",216.000,"Beograd, Opština Rakovica, Vidikovac, Vidikovački venac",108 m2,5.0
"Čukarica, Cerak, 112m2, 3 spavaće sobe",281.625,"Beograd, Opština Čukarica, Cerak","112,65 m2",4.0
Dorćol-uknjižen-bez ulaganja,299.000,"Beograd, Opština Stari grad, Centar, ",64 m2,2.0
Mirijevo novogradnja | Trosoban,158.875,"Beograd, Opština Zvezdara, Mirijevo, Aleksandra Bugarskog","63,55 m2",3.0
Odličan troiposoban stan kod Čuburskog parka ID#15,270.000,"Beograd, Opština Vračar, Čubura, Svetolika Rankovića",77 m2,3.5
"Renoviran 3.0, sa nameštajem ID#15982",190.000,"Beograd, Opština Voždovac, TC Stadion, Jovana Bijelića",54 m2,3.0
"Sređen stan sa pogledom na reku, u BW",550.000,"Beograd, Opština Savski venac, Beograd na vodi, Hercegovačka",111 m2,4.0
Najlepši renoviran trosoban stan na Novom Beogradu,278.900,"Beograd, Opština Novi Beograd, Blok 28, Bulevar Arsenija Čarnojevića",80 m2,3.0
Stan/Lokal Višnjica 26kv + dvoršite 30kv,89.000,"Beograd, Opština Palilula, Višnjica, Metalska",26 m2,1.0
"Nov, lux, garaža, adaptibilan u 2.5",259.800,"Beograd, Opština Novi Beograd, Blok 65, Đorđa Stanojevića",61 m2,2.0
Dvosoban | Vojvode Stepe | Miran kraj,459.000,"Beograd, Opština Voždovac, Vojvode Stepe, Vojvode Stepe",135 m2,2.0
"Trosoban, lux, savršen pogled na Hram Svetog Save",298.900,"Beograd, Opština Vračar, Južni bulevar, Sime Igumanova",75 m2,3.0
Četvorosoban | BW Perla | Pogled na reku,950.000,"Beograd, Opština Savski venac, Beograd na vodi, Hercegovačka","143,23 m2",4.0
Dvosoban| BW St. Regis | Pogled na reku,599.000,"Beograd, Opština Savski venac, Beograd na vodi, Nikolaja Kravcova","61,65 m2",2.0
Trosoban | Wellport | Moderna arhitektura,525.000,"Beograd, Opština Novi Beograd, Blok 65, Tadije Sondermajera",106 m2,3.0
Penthouse | K-District | Pogled na ušće,1.500.000,"Beograd, Opština Stari grad, K-District, Dunavska","226,84 m2",3.0
Četvorosoban | BW Vista | Pogled na reku,575.000,"Beograd, Opština Savski venac, Beograd na vodi, Hercegovačka","112,54 m2",4.0
Dvosoban stan u Bloku 70,195.000,"Beograd, Opština Novi Beograd, Blok 70 (kineski tržni centar), Jurija Gagarina",58 m2,2.0
Četvorosoban | St. Regis | Pogled na reku,1.800.000,"Beograd, Opština Savski venac, Beograd na vodi, Nikolaja Kravcova","163,50 m2",4.0
"Lux duplex, garaža, 115m2 (korisno 137m2)",380.000,"Beograd, Opština Voždovac, Bulevar oslobođenja, Bulevar Oslobođenja",115 m2,4.0
Penthouse | Novi Dorćol | Privatna bašta,1.610.000,"Beograd, Opština Stari grad, Dorćol, Venizelosova","244,74 m2",4.0
Penthouse | Dorćol | Zimska bašta,780.000,"Beograd, Opština Stari grad, Dorćol, Knez Miletina",184 m2,3.0
Četvorosoban | Green Hill Dedinje | Smart home,989.000,"Beograd, Opština Savski venac, Dedinje, Dr Vojislava Stojanovića",184 m2,4.0
Penthouse | BW King’s Park | Prostrana terasa,745.000,"Beograd, Opština Savski venac, Beograd na vodi, Luke Ćelovića Trebinjca","151,87 m2",4.0
Trosoban | BW St. Regis | Poged na reku,838.400,"Beograd, Opština Savski venac, Beograd na vodi, Nikolaja Kravcova","91,13 m2",3.0
Četvorosoban | BW Simfonija 2 | Pogled na reku,610.000,"Beograd, Opština Savski venac, Beograd na vodi, Hercegovačka","123,74 m2",4.0
Kompletno renoviran stan na odličnoj lokaciji,129.000,"Beograd, Opština Zemun, Donji grad, Ugrinovačka",44 m2,1.5
Trosoban | Skenderbegova | Garažno mesto,520.000,"Beograd, Opština Stari grad, Dorćol, Skender Begova",83 m2,3.0
"Novogradnja bez provizije, parking",90.867,"Beograd, Opština Palilula, Borča, Ovčanski put","43,27 m2",1.5
Četvorosoban | Vračar | Kalenić pijaca,710.000,"Beograd, Opština Vračar, Kalenić pijaca, Hadži Prodanova",177 m2,4.0
Dvosoban stan | BW Perla | Panoramski pogled,470.000,"Beograd, Opština Savski venac, Beograd na vodi, Hercegovačka","71,35 m2",2.0
"Novogradnja bez provizije, parking",101.850,"Beograd, Opština Palilula, Borča, Ovčanski put","48,50 m2",2.5
"Uknjižen, renoviran, bez ulaganja, 1.5 stan",132.500,"Beograd, Opština Rakovica, Kneževac, 17. oktobra",44 m2,1.5
"Opremljen, lux, garaža",207.500,"Beograd, Opština Zvezdara, Dimitrija Tucovića, Dimitrija Tucovića",50 m2,2.0
"Uknjižen, jedosoban, odmah useljiv",142.000,"Beograd, Opština Voždovac, Lekino brdo, Murska",33 m2,1.0
"Svetao, izuzetan, retko u ponudi",210.000,"Beograd, Opština Zvezdara, Mirijevo, Vladislava Bajčevića",84 m2,3.0
"Uknjižen, brzo useljiv",132.600,"Beograd, Opština Palilula, Karaburma, Bata Lakina",39 m2,1.5
"Svetao, lep raspored",142.000,"Beograd, Opština Zvezdara, Mirijevo, Ljube Tadića",45 m2,1.5
"Blok 28, 3.0, 80(T), renoviran, useljiv",278.900,"Beograd, Opština Novi Beograd, Blok 28, Bulevar Arsenija Čarnojevića",80 m2,3.0
"Vračar, 3.0, Lux renoviran, 75(2T), useljiv",298.900,"Beograd, Opština Vračar, Južni bulevar, Sime Igumanova",75 m2,3.0
"Top investicija, blizina BW-G.Principa! ID#2056",159.000,"Beograd, Opština Savski venac, Ekonomski fakultet, Gavrila Principa",32 m2,0.5
Penthouse na odličnoj lokaciji! ID#2112,399.000,"Beograd, Opština Voždovac, Lekino brdo, Veselina Masleše",119 m2,4.0
"Trosoban stan kod TC Ada Mall-a-nov,useljiv ID#237",219.000,"Beograd, Opština Čukarica, Banovo brdo, Karpoševa",54 m2,3.0
Fantastičan stan-novogradnja-4.0-Palilula ID#2762,329.533,"Beograd, Opština Palilula, Karaburma, Hoze Martia","119,83 m2",4.0
Fantastičan stan-novogradnja-1.5-Palilula ID#2770,150.400,"Beograd, Opština Palilula, Karaburma, Hoze Martia",47 m2,4.0
Novogradnja kod Cvetkove pijace,166.858,"Beograd, Opština Zvezdara, Cvetkova pijaca","43,91 m2",1.5
"Lux 2.5 stan u bloku 65, Tadije Sondermajera ID#38",329.000,"Beograd, Opština Novi Beograd, Blok 65, Tadije Sondermajera",69 m2,2.5
"Sunčani breg, u izgradnji",90.000,"Beograd, Opština Rakovica, Miljakovac, Kozačka",41 m2,1.5
"Jedinstvena ponuda, LUX, 33m2, dvosoban, Karaburma",123.000,"Beograd, Opština Palilula, Karaburma, Pabla Nerude",33 m2,2.0
"Renoviran 1.5 stan, odmah useljiv, prelepa terasa",189.000,"Beograd, Opština Novi Beograd, Blok 61, Dušana Vukasovića",49 m2,1.5
Trosoban stan sa panoramskim pogledom,164.900,"Beograd, Opština Zemun, Save Kovačevića, Ohridska",62 m2,3.0
"Kod Hrama, 117m2, III, cg",490.000,"Beograd, Opština Vračar, Hram svetog Save, Nebojšina",117 m2,4.0
"Nov, uknjižen, Vojvode vlahovića",140.000,"Beograd, Opština Voždovac, Vojvode Vlahovića, Dušana Dude Timotijevića",65 m2,3.0
Duplex | Senjak | Potpuno opremljen,749.000,"Beograd, Opština Savski venac, Senjak, Andre Nikolića",218 m2,3.0
"Trosoban, svetao, sa odličnom strukturom ID#1405",179.500,"Beograd, Opština Vračar, Južni bulevar, ",51 m2,3.0
Komforan stan-prelepa lokacija-Braće Srnić! ID#202,245.000,"Beograd, Opština Zvezdara, Medaković 3, Braće Srnić",103 m2,4.0
Fantastična investicija- Airport Garden ID#2396,157.900,"Beograd, Opština Novi Beograd, Blok 64, Đorđa Stanojevića",32 m2,1.0
"Trosoban stan, novija zgrada, Arena! ID#2683",399.000,"Beograd, Opština Novi Beograd, Arena, Bulevar Arsenija Čarnojevića","85,18 m2",3.0
Kompletno renoviran četvorosoban stan 104 m²–kod G,348.000,"Beograd, Opština Zvezdara, Gradska bolnica, Čingrijina",104 m2,4.0
Renoviran porodični stan 100 m² kod Bajlonijeve pi,465.000,"Beograd, Opština Stari grad, Gundulićev venac, Knez Miletina",100 m2,3.0
Dva parking mesta+terasa 130m2,305.000,"Beograd, Opština Savski venac, Stadion Partizana, Prilepska",124 m2,4.0
BW Kula | Ekskluzivan luksuzni stan sa pogledom,500.000,"Beograd, Opština Savski venac, Beograd na vodi, Karađorđeva","61,65 m2",2.0
"Arena, Blok 29, Bulevar Zorana Đinđića",520.590,"Beograd, Opština Novi Beograd, Arena, Bulevar Zorana Đinđića","123,95 m2",5.0
"Vračar, kod Čuburskog parka, Sazonova 82m2",333.000,"Beograd, Opština Vračar, Crveni krst, Sazonova",82 m2,3.0
Stan u zgradi Vojvođanka sa privatnim dvorištem,525.555,"Beograd, Opština Novi Beograd, Bežanijska kosa 1, Generala Mihaila Nedeljkovića",150 m2,4.5
"Lekino brdo - kod Maksima Gorkog, 27m2, II, cg",129.000,"Beograd, Opština Voždovac, Lekino brdo, Gospodara Vučića",27 m2,1.0
"Retenzija, namešten, uknjižen, lux",205.000,"Beograd, Opština Zemun, Retenzija, Prve pruge",42 m2,1.5
"Vračar-Kalenić 65(T) renoviran, funkcionalan",285.000,"Beograd, Opština Vračar, Kalenić pijaca, Mileševska",65 m2,2.5
Investicija kod Piramide i Savskog keja,101.000,"Beograd, Opština Novi Beograd, Blok 44 (TC Piramida), Gandijeva",32 m2,1.0
"Stan sa najlepšim rasporedom, BW, potpuno namešten",390.000,"Beograd, Opština Savski venac, Beograd na vodi, ",77 m2,3.0
"U najlepšem delu Vračara, stan sa dve spavaće sobe",249.900,"Beograd, Opština Vračar, Hram svetog Save, ",53 m2,2.5
BW Riviera-Sava Promenada-fantastična prilika! ID#,895.000,"Beograd, Opština Savski venac, Beograd na vodi, Bulevar Vudroa Vilsona","119,87 m2",3.0
Odličan 3.5 stan-Hram Svetog Save ID#2085,310.000,"Beograd, Opština Vračar, Hram svetog Save, Patrijarha Varnave",68 m2,3.5
Retka prilika–salonski stan sa dva ulaza ID#2489,399.000,"Beograd, Opština Savski venac, Centar, Svetozara Markovića",96 m2,3.5
Funkcionalan dvosoban stan sa velikom terasom ID#2,189.000,"Beograd, Opština Novi Beograd, Blok 61, Dušana Vukasovića",49 m2,1.5
"Zemun, manji dvoiposoban, odlična investicija",124.995,"Beograd, Opština Zemun, Prvomajska, Banjička",50 m2,2.5
"3.0 stan, novogradnja kod Olimpa, garažno mesto",261.000,"Beograd, Opština Zvezdara, Olimp, Ariljska",78 m2,3.0
Trosoban stan sa garažnim mestom - vlasnik,315.000,"Beograd, Opština Zvezdara, Bulbulder, Dimitrija Tucovića",75 m2,3.0
"Vidikovači venac, 2.5, I sprat, namešten",220.000,"Beograd, Opština Rakovica, Vidikovački venac, Vidikovački venac",72 m2,2.5
Nov dvosoban stan 41 m2,95.150,"Beograd, Opština Zvezdara, Medaković 3",41 m2,2.5
"Vračar, Centar - Resavska",254.900,"Beograd, Opština Vračar, Centar, Resavska",54 m2,2.5
Broker - Prodaja stana na Karaburmi,179.000,"Beograd, Opština Palilula, Karaburma, ",57 m2,2.0
"Kod Hrama, 70m2, IV, cg",350.000,"Beograd, Opština Vračar, Hram svetog Save, Brane Crnčevića",70 m2,3.0
Odličan 4.0 stan-Zahumska-V.spomenik+garaža! ID#19,398.000,"Beograd, Opština Zvezdara, Vukov Spomenik, Zahumska",125 m2,4.0
"Odličan 2.0 stan, TC Big Fashion-Karaburma ID#2023",159.900,"Beograd, Opština Palilula, Karaburma, Vojvode Micka Krstića",62 m2,2.0
BW Metropolitan - Studio na 9. spratu,169.900,"Beograd, Opština Savski venac, Beograd na vodi, Bulevar Vudroa Vilsona","29,18 m2",1.0
"Vračar, Crveni krst, 61m2, vp, cg",228.000,"Beograd, Opština Vračar, Crveni krst, Metohijska",61 m2,2.0
Funkcionalan Studio na Dorćolu,120.000,"Beograd, Opština Stari grad, Dorćol, Džordža Vašingtona",15 m2,0.5
Jednosoban 36m2 Bežanija-useljiv,135.000,"Beograd, Opština Novi Beograd, Bežanijska kosa 3, Vespučijeva",36 m2,1.0
"Izuzetna novogradnja, useljenje oktobar 2026. god",190.000,"Beograd, Opština Zemun, Zemunske kapije",59 m2,2.5
"Pravosnažna građ. dozvola, povrat pdv - a",170.500,"Beograd, Opština Zemun, Zemunske kapije",53 m2,2.5
"Hram, mladalački stan sa parking mestom",288.000,"Beograd, Opština Vračar, Hram svetog Save, Hadži Melentijeva",76 m2,2.5
Mirna zgrada okružena zelenilom,199.500,"Beograd, Opština Voždovac, Lekino brdo, Bačvanska",65 m2,2.0
Nov dvoiposoban stan 52 m2 Uciteljsko naselje,163.320,"Beograd, Opština Zvezdara, Učiteljsko naselje",52 m2,2.5
"Novogradnja, Bulevar residence, 30.58m2 + pdv",91.740,"Beograd, Opština Zvezdara, Bulevar kralja Aleksandra, ","30,58 m2",1.0
"Novogradnja, Mirijevo, 40.64 m2",98.755,"Beograd, Opština Zvezdara, Mirijevo, Teodora Mirijevskog","40,64 m2",1.5
Uknjižena novogradnja u Dobanovačkoj,211.968,"Beograd, Opština Zemun, Dobanovačka, Dobanovačka","66,24 m2",3.0
2.0 stan bez ulaganja Profesorska kolonija,195.000,"Beograd, Opština Palilula, Profesorska kolonija, Ljubomira Stojanovića",47 m2,2.0
"Uključeno parking mesto, uknjižen",205.000,"Beograd, Opština Zemun, Save Kovačevića, Tršćanska",59 m2,2.5
"Stan 2.0 sa velikim potencijalom, ul. Marijane Gre",139.000,"Beograd, Opština Palilula, Karaburma, Marijane Gregoran",49 m2,2.0
"Ledine, Bukovačka, 45m2, 2.0 ID#3387",129.900,"Beograd, Opština Surčin, Ledine, Bukovačka",45 m2,2.0
"Uknjižen, novogradnja, terasa 29m2",139.500,"Beograd, Opština Voždovac, Jajinci",53 m2,3.0
Studio | Viva Residences | Novogradnja,175.000,"Beograd, Opština Zvezdara, Đeram pijaca, Milana Rakića","37,18 m2",1.0
"Beogradska, 4.0 stan u novogradnji sa garažnim mes",655.000,"Beograd, Opština Vračar, Beogradska, ",115 m2,4.0
"Zemun, 3,5, useljiv, parking u ceni",220.000,"Beograd, Opština Zemun, Gornji grad, ",73 m2,3.5
3.0 stan u vrhunskoj zgradi - sada po Super Popust,271.270,"Beograd, Opština Novi Beograd, Blok 65, ",71 m2,3.0
Salonac centar Beograda 76m2,325.000,"Beograd, Opština Stari grad, Dorćol, Dositejeva",76 m2,3.0
Fukcionalan 2.0 stan adaptibilan u 3.0 na B. Kosi,239.000,"Beograd, Opština Novi Beograd, Bežanijska kosa 3, Viktora Novaka",85 m2,2.0
"Porodičan stan na najtraženijoj lokaciji, Dedinje",1.150.000,"Beograd, Opština Savski venac, Dedinje",213 m2,5.0
Lep dvosoban stan na Lionu,186.000,"Beograd, Opština Zvezdara, Lion, Čede Mijatovića",50 m2,2.0
"Izuzetna prilika, stan sa garažom u centru grada",420.000,"Beograd, Opština Vračar, Cvetni trg, Mišarska",65 m2,2.0
Stan na idealnoj lokaciji ID#25415,129.000,"Beograd, Opština Voždovac, Autokomanda, Gospodara Vučića",27 m2,1.0
"Moderan namešten 2.0 - Dorćol, Cara Dušana ID#1054",250.000,"Beograd, Opština Stari grad, Dorćol, Cara Dušana",45 m2,2.0
Top lokacija u Železniku!,134.999,"Beograd, Opština Čukarica, Železnik, Darinke Radović",59 m2,2.5
