naslov,cena_eur,lokacija,kvadratura,broj_soba,cena_po_m2
"Karaburma- Husinskih rudara, 2.0",139500,"Beograd, Opština Palilula, Karaburma, Husinskih rudara",56.0,2.0,2491.0714285714284
"Gradska bolnica, B.Krsmanovića-odlična investicija",162000,"Beograd, Opština Zvezdara, Gradska bolnica, Branka Krsmanovića",73.0,3.0,2219.178082191781
"Železnik, Osmog marta, uknjižen",125000,"Beograd, Opština Čukarica, Železnik, 8. marta",53.0,2.5,2358.490566037736
Ekskluzivan penthouse Jove Ilića ID#15712,907500,"Beograd, Opština Voždovac, Voždovačka crkva, Jove Ilića",220.0,5.0,4125.0
Uknjižena i nova garsonjera sa odličnim rasporedom,64900,"Beograd, Opština Rakovica, Kneževac, ",24.0,1.0,2704.1666666666665
"Autokomanda, Kumodraška, Smart home, 96m2",278000,"Beograd, Opština Voždovac, Autokomanda, Kumodraška",96.0,3.0,2895.8333333333335
"Vidikovac, Vidikovački venac, duplex",216000,"Beograd, Opština Rakovica, Vidikovac, Vidikovački venac",108.0,5.0,2000.0
"Čukarica, Cerak, 112m2, 3 spavaće sobe",281625,"Beograd, Opština Čukarica, Cerak",112.65,4.0,2500.0
Dorćol-uknjižen-bez ulaganja,299000,"Beograd, Opština Stari grad, Centar, ",64.0,2.0,4671.875
Mirijevo novogradnja | Trosoban,158875,"Beograd, Opština Zvezdara, Mirijevo, Aleksandra Bugarskog",63.55,3.0,2500.0
Odličan troiposoban stan kod Čuburskog parka ID#15,270000,"Beograd, Opština Vračar, Čubura, Svetolika Rankovića",77.0,3.5,3506.4935064935066
"Renoviran 3.0, sa nameštajem ID#15982",190000,"Beograd, Opština Voždovac, TC Stadion, Jovana Bijelića",54.0,3.0,3518.5185185185187
"Sređen stan sa pogledom na reku, u BW",550000,"Beograd, Opština Savski venac, Beograd na vodi, Hercegovačka",111.0,4.0,4954.954954954955
Najlepši renoviran trosoban stan na Novom Beogradu,278900,"Beograd, Opština Novi Beograd, Blok 28, Bulevar Arsenija Čarnojevića",80.0,3.0,3486.25
Stan/Lokal Višnjica 26kv + dvoršite 30kv,89000,"Beograd, Opština Palilula, Višnjica, Metalska",26.0,1.0,3423.076923076923
"Nov, lux, garaža, adaptibilan u 2.5",259800,"Beograd, Opština Novi Beograd, Blok 65, Đorđa Stanojevića",61.0,2.0,4259.016393442623
Dvosoban | Vojvode Stepe | Miran kraj,459000,"Beograd, Opština Voždovac, Vojvode Stepe, Vojvode Stepe",135.0,2.0,3400.0
"Trosoban, lux, savršen pogled na Hram Svetog Save",298900,"Beograd, Opština Vračar, Južni bulevar, Sime Igumanova",75.0,3.0,3985.3333333333335
Četvorosoban | BW Perla | Pogled na reku,950000,"Beograd, Opština Savski venac, Beograd na vodi, Hercegovačka",143.23,4.0,6632.6886825385745
Dvosoban| BW St. Regis | Pogled na reku,599000,"Beograd, Opština Savski venac, Beograd na vodi, Nikolaja Kravcova",61.65,2.0,9716.139497161395
Trosoban | Wellport | Moderna arhitektura,525000,"Beograd, Opština Novi Beograd, Blok 65, Tadije Sondermajera",106.0,3.0,4952.830188679245
Penthouse | K-District | Pogled na ušće,1500000,"Beograd, Opština Stari grad, K-District, Dunavska",226.84,3.0,6612.590372068418
Četvorosoban | BW Vista | Pogled na reku,575000,"Beograd, Opština Savski venac, Beograd na vodi, Hercegovačka",112.54,4.0,5109.294473076239
Dvosoban stan u Bloku 70,195000,"Beograd, Opština Novi Beograd, Blok 70 (kineski tržni centar), Jurija Gagarina",58.0,2.0,3362.0689655172414
Četvorosoban | St. Regis | Pogled na reku,1800000,"Beograd, Opština Savski venac, Beograd na vodi, Nikolaja Kravcova",163.5,4.0,11009.174311926605
"Lux duplex, garaža, 115m2 (korisno 137m2)",380000,"Beograd, Opština Voždovac, Bulevar oslobođenja, Bulevar Oslobođenja",115.0,4.0,3304.3478260869565
Penthouse | Novi Dorćol | Privatna bašta,1610000,"Beograd, Opština Stari grad, Dorćol, Venizelosova",244.74,4.0,6578.409740949579
Penthouse | Dorćol | Zimska bašta,780000,"Beograd, Opština Stari grad, Dorćol, Knez Miletina",184.0,3.0,4239.130434782609
Četvorosoban | Green Hill Dedinje | Smart home,989000,"Beograd, Opština Savski venac, Dedinje, Dr Vojislava Stojanovića",184.0,4.0,5375.0
