naslov,cena_eur,lokacija,kvadratura,broj_soba,cena_po_m2
"Uknjižen 2.0 stan u Viševačkoj, Rakovica",65000,"Beograd, Opština Rakovica, Centar, Viševačka",30.0,2.0,2166.6666666666665
Nov apartman kod Đeram pijace – 33m²+14m² Galerija,149000,"Beograd, Opština Zvezdara, Đeram pijaca, Šabačka",47.0,1.0,3170.2127659574467
Garsonjera – Bogoslovija – 30m2 sa terasom,129000,"Beograd, Opština Palilula, Bogoslovija, Generala Aračića",30.0,0.5,4300.0
"Novogradnja, može kredit ID#14531",111520,"Beograd, Opština Grocka, Kaluđerica, Mokroluška",56.0,1.5,1991.4285714285713
"Lux novogradnja, cena sa pdv-om ID#15925",230864,"Beograd, Opština Voždovac, Dušanovac, Ustanička",49.33,2.0,4679.99189134401
Direktna Prodaja Stana,103950,"Beograd, Opština Zemun, Altina, Ugrinovacki put 30 deo",55.0,2.5,1890.0
"Dvosoban, u Gredinoj zgradi Porečka ID#1370",175000,"Beograd, Opština Palilula, Cvijićeva, Porečka",42.0,2.0,4166.666666666667
"Nov, Jakovo, 1.5, 40m2, prizemlje ID#2117",79900,"Beograd, Opština Surčin, Jakovo, ",40.0,1.5,1997.5
"Zemun 3.5, lux, uredna dokumentacija",247500,"Beograd, Opština Zemun, Gornji grad, Gornji grad",82.0,3.5,3018.2926829268295
Penthouse | Kalvarija | 98 m² | Smart Home | Premi,295210,"Beograd, Opština Zemun, Kalvarija, Zemun",98.0,3.0,3012.3469387755104
"Lux, Arena, bez ulaganja",399000,"Beograd, Opština Novi Beograd, Blok 29, Bulevar Arsenija Čarnojevića",85.0,3.0,4694.117647058823
"LUX 3.0, kredit, vrhunski kvalitet",201000,"Beograd, Opština Zemun, Cara Dušana, -",67.0,3.0,3000.0
Expo Residence - provizija 1.5%,101750,"Beograd, Opština Novi Beograd, Ledine, Belfortska",37.0,1.5,2750.0
"Zemun, 59m trosoban, useljiv,",194000,"Beograd, Opština Zemun, Zemunske kapije, Šumadijska 16",59.0,3.0,3288.135593220339
"Dupleks 3.5 na Vidikovcu, sa privatnim dvorištem",264000,"Beograd, Opština Rakovica, Vidikovac",85.26,3.5,3096.410978184377
"Vračar 63(T) novogradnja sa velikom terasom,",267000,"Beograd, Opština Vračar, Južni bulevar, Braće Radovanović",63.0,3.0,4238.0952380952385
"Legalizacija,uskoro useljiv,opis u tekstu oglasa",76000,"Beograd, Opština Novi Beograd, Stara Bežanija, Vinogradska",44.0,1.5,1727.2727272727273
"Kej - Nestvaran pogled na Dunav, dva parking mesta",340000,"Beograd, Opština Zemun, Kej, Kej oslobođenja",73.0,3.0,4657.534246575343
Dupleks | Knez Mihailova | Prestižna lokacija,495000,"Beograd, Opština Stari grad, Knez Mihailova, Kneza Mihaila",123.0,4.0,4024.390243902439
Četvorosoban | BW Terraces | Pogled na reku | Lux,1220000,"Beograd, Opština Savski venac, Beograd na vodi, Ulica Hercegovacka 16",139.37,4.0,8753.677261964554
Dupleks | Vračar | Potpuno opremljen | Lux,1300000,"Beograd, Opština Vračar, Kalenić pijaca, Hadži Prodanova",316.0,5.0,4113.9240506329115
Pravo korišćenja krovne terase ID#9925111,305000,"Beograd, Opština Savski venac, Centar, Prilepska",88.37,4.0,3451.397533099468
Troiposoban stan na odličnoj lokaciji na Banovom b,379000,"Beograd, Opština Čukarica, Banovo brdo, ",101.0,3.5,3752.4752475247524
Komforan troiposoban stan u blizini Ada Mall-a,375000,"Beograd, Opština Čukarica, Banovo brdo, ",101.34,3.5,3700.4144464179985
BW Rima – 3.0 sa garažom po početnoj ceni,330500,"Beograd, Opština Savski venac, Beograd na vodi, Bulevar Vudroa Vilsona",76.0,3.0,4348.684210526316
Novogradnja - dvosoban - velika terasa,103800,"Beograd, Opština Zvezdara, Vojvode Vlahovića, Nikole Altomanovića",43.25,2.0,2400.0
